id,title,year,price,director
tt0094859,Chief Zabu,2016,10.88,Neil Cohen
tt0096056,Crime and Punishment,2002,16.25,Menahem Golan
tt0100275,The Wandering Soap Opera,2017,23.62,Raoul Ruiz
tt0112502,Bigfoot,2017,24.34,Mc Jones
tt0112912,Dune 7,2002,5.82,Feri Hefti
tt0113506,Justifiable Homicide,2002,11.08,Jon Osman
tt0114447,The Silent Force,2001,12.95,David H. May
tt0114722,3 noches,2001,6.52,Fernando Venturini
tt0115686,Biriken,2008,8.76,Junji Sakamoto
tt0116617,Impotent,2001,19.23,Anatoly Eyramdzhan
tt0117743,Still Waters Burn,2008,24.87,Halfdan Hussey
tt0118141,What Is It?,2005,21.68,Crispin Glover
tt0118154,White Hotel,2001,8.77,Dianne Griffin
tt0118652,The Attic Expeditions,2001,13.82,Jeremy Kasten
tt0120225,Strawberry Estates,2001,17.77,Ron Bonk
tt0120607,Between the Sheets,2003,22.40,Michael DeLuise
tt0120624,Camarate,2001,13.71,LuÃƒÂ­s Filipe Rocha
tt0120667,Fantastic Four,2005,16.33,Tim Story
tt0120679,Frida,2002,15.51,Julie Taymor
tt0120681,From Hell,2001,23.59,Allen Hughes
tt0121569,Moonlight Blade,2009,6.39,Arthur J. Mangano
tt0122247,Serial Killing 4 Dummys,2004,16.20,Trace Slobotkin
tt0123581,Burning Down the House,2001,16.81,Philippe Mora
tt0124889,Sticks,2001,10.47,Brett Mayer
tt0125022,Heartbreakers,2001,16.92,David Mirkin
tt0126029,Shrek,2001,8.17,Andrew Adamson
tt0126899,Eyes Are Upon You,2001,5.09,David A. Goldberg
tt0128216,Flophouse,2002,15.96,Chris Claridge
tt0131597,Split,2004,19.52,Chaim Bianco
tt0133152,Planet of the Apes,2001,24.74,Tim Burton
tt0133957,Mata Hari,2016,20.13,David Carradine
tt0135986,Mort,2005,21.42,Kyle B. Thompson
tt0135991,Dominator,2003,21.71,Tony Luke
tt0136517,Seven Days of Grace,2006,19.28,Don E. FauntLeRoy
tt0137204,Joe Finds Grace,2017,6.27,Anthony Harrison
tt0138524,Intolerable Cruelty,2003,8.53,Ethan Coen
tt0139479,Tangoed Lives,2002,18.81,James Beirne
tt0140806,American Reel,2003,23.49,Mark Archer
tt0144280,Whispers from a Shallow Grave,2006,16.03,Ted Newsom
tt0145487,Spider-Man,2002,24.66,Sam Raimi
tt0145937,Naqoyqatsi,2002,10.21,Godfrey Reggio
tt0146316,Lara Croft: Tomb Raider,2001,12.05,Simon West
tt0152772,Swing Set,2002,24.64,Stephen Wolfe
tt0153516,Venus Delights,2003,22.05,Joe Baily
tt0156741,Apartment 12,2001,11.34,Dan Bootzin
tt0156859,The Secret Pact,2001,5.53,Rodney Gibbons
tt0157007,After Image,2001,8.66,Robert Manganelli
tt0157191,One Last Dance,2003,21.68,Lisa Niemi
tt0159273,Behind Enemy Lines,2001,17.44,John Moore
tt0159503,Kalotaszeg nagyasszonya,2001,17.14,JÃƒÂ³zsef RÃƒÂ¡k
tt0160184,Eye See You,2002,8.37,Jim Gillespie
tt0160239,Duty Dating,2002,5.44,Cherry Norris
tt0160240,Easter,2002,17.10,Richard Caliban
tt0160261,False River,2005,24.19,Rex Hauck
tt0160275,Final Solution,2001,24.65,Cristobal Krusen
tt0160370,The Homeboy,2001,5.69,David Gebroe
tt0160398,Imelda,2003,9.50,Ramona S. Diaz
tt0160399,Impostor,2001,5.44,Gary Fleder
tt0160480,Long Lost Love,2001,13.69,Yuri Biersach
tt0160706,The Prodigy,2005,7.11,William Kaufman
tt0160870,Silent Screamplay,2003,9.50,Denise Riley
tt0160905,Spooky House,2002,21.18,William Sachs
tt0161088,White Boy,2002,12.40,John Marino
tt0161102,Working Stiff,2001,13.45,Gregory Joyce
tt0161860,Nowhere in Africa,2001,5.06,Caroline Link
tt0162346,Ghost World,2001,19.94,Terry Zwigoff
tt0163764,Net Worth,2001,19.52,Kenny Griswold
tt0164003,City of Ghosts,2002,12.78,Matt Dillon
tt0164810,Pipe Dream,2002,20.36,John Walsh
tt0164961,Vidocq,2001,18.43,Pitof
tt0165361,Highway,2002,6.08,James Cox
tt0166158,Daddy and Them,2001,10.09,Billy Bob Thornton
tt0166186,Still Life,2001,7.23,Mike Flanagan
tt0166276,Monkeybone,2001,20.86,Henry Selick
tt0166709,Posthumous Memories,2001,17.60,AndrÃƒÂ© Klotzel
tt0166871,ViÃƒÂºva Rica Solteira NÃƒÂ£o Fica,2006,20.45,JosÃƒÂ© Fonseca e Costa
tt0166924,Mulholland Dr.,2001,24.46,David Lynch
tt0167360,Race to Space,2001,15.93,Sean McNamara
tt0167456,Thunderbirds,2004,21.27,Jonathan Frakes
tt0169579,Baggage,2003,13.55,Evan Aaronson
tt0170508,Il resto di niente,2004,18.93,Antonietta de Lillo
tt0170517,The Life of Aleksis Kivi,2001,9.01,Jari Halonen
tt0171339,Generation Ax,2001,23.25,Tommy Faircloth
tt0172995,Play Dead,2001,24.23,Jeff Jenkins
tt0173498,Zigs,2001,6.41,Mars Callahan
tt0175203,The Stone Raft,2002,14.37,George Sluizer
tt0176694,The Tragedy of Man,2011,7.59,Marcell Jankovics
tt0176883,Kids World,2001,9.87,Dale G. Bradley
tt0177636,Geliebte Clara,2008,21.55,Helma Sanders-Brahms
tt0177882,Kebab Connection,2004,13.17,Anno Saul
tt0177885,Killer Bud,2001,16.20,Karl T. Hirsch
tt0178642,The Invisible Circus,2001,16.47,Adam Brooks
tt0179344,The Midnight Hour,2001,8.74,Emmanuel Itier
tt0179435,The Proposal,2001,9.29,Richard Gale
tt0179626,15 Minutes,2001,15.23,John Herzfeld
tt0180052,The Adventures of Pluto Nash,2002,23.27,Ron Underwood
tt0180273,Understanding Jane,2001,5.68,Caleb Lindsay
tt0181317,Bodywork,2001,13.60,Gareth Rhys Jones
tt0181430,Crossing the Rubicon,2002,5.93,Grant Olson
tt0181689,Minority Report,2002,23.86,Steven Spielberg
tt0181739,Osmosis Jones,2001,16.51,Peter Farrelly
tt0182027,The Cure for Boredom,2001,5.95,Ruben Preuss
tt0183639,The Pavilion,2004,15.24,C. Grant Mitchell
tt0183649,Phone Booth,2002,13.33,Joel Schumacher
tt0184719,Maryam,2002,15.94,Ramin Serry
tt0184791,O,2001,14.70,Tim Blake Nelson
tt0186202,Cowboy Up,2001,20.70,Xavier Koller
tt0187279,Meri Biwi Ka Jawab Nahin,2004,14.40,S.M. Iqbal
tt0187738,Blade II,2002,24.90,Guillermo del Toro
tt0188128,Very Annie Mary,2001,16.28,Sara Sugarman
tt0188378,...Or Forever Hold Your Peace,2001,21.71,Kenneth August
tt0188424,Art City 2: Simplicty,2002,14.72,Chris Maybach
tt0189541,Gabriela,2001,23.47,Vincent Jay Miller
tt0190994,Cold Blooded,2003,8.18,Randy Bradshaw
tt0191161,Light Drops,2002,5.51,Fernando Vendrell
tt0191211,Jersey Guy,2003,18.00,Elia Zois
tt0192071,Get Over It,2001,8.45,Tommy OHaver
tt0192110,Head Games,2001,23.27,Daniel Bernstein
