name,title
"Fima Noveck","Chief Zabu"
"Allan Arbus","Chief Zabu"
"Neil Cohen","Chief Zabu"
"Allen Garfield","Chief Zabu"
"Ed Lauter","Chief Zabu"
"Norman Leigh","Chief Zabu"
"Zack Norman","Chief Zabu"
"Frank Prinzi","Chief Zabu"
"Susan Aufhauser","Chief Zabu"
"Nancy Zuker","Chief Zabu"
"Crispin Glover","Crime and Punishment"
"John Hurt","Crime and Punishment"
"Vanessa Redgrave","Crime and Punishment"
"Nicholas Josef von Sternberg","Crime and Punishment"
"Carolle Alain","Crime and Punishment"
"Fyodor Dostoevsky","Crime and Punishment"
"Menahem Golan","Crime and Punishment"
"Margot Kidder","Crime and Punishment"
"Robert O. Ragland","Crime and Punishment"
"Evgeny Afineevsky","Crime and Punishment"
"Jorge Arriagada","The Wandering Soap Opera"
"Luis AlarcÃƒÂ³n","The Wandering Soap Opera"
"Leo Kocking","The Wandering Soap Opera"
"Francisco Reyes","The Wandering Soap Opera"
"Patricia Rivadeneira","The Wandering Soap Opera"
"Raoul Ruiz","The Wandering Soap Opera"
"Valeria Sarmiento","The Wandering Soap Opera"
"PÃƒÂ­a Rey","The Wandering Soap Opera"
"Consuelo Castillo","The Wandering Soap Opera"
"AndrÃƒÂ©s Racz","The Wandering Soap Opera"
"Danny Dimbort",Bigfoot
"Manfred D. Heid",Bigfoot
"Mc Jones",Bigfoot
"Feri Hefti","Dune 7"
"Andrea Jungert","Dune 7"
"Ryszard Lenczewski","Dune 7"
"Walter Lott","Dune 7"
"David G. Muller","Dune 7"
"Ray Novak","Dune 7"
"Paul Avondet","Dune 7"
"Andrew Bodinski","Dune 7"
"Robert Lisse","Dune 7"
"Thomas Geser","Dune 7"
"Shawn K. Clement","Justifiable Homicide"
"Rudy Giuliani","Justifiable Homicide"
"Jonathan Stack","Justifiable Homicide"
"Jon Osman","Justifiable Homicide"
"Loren Avedon","The Silent Force"
"Steve Adcock","The Silent Force"
"Efrem Bergman","The Silent Force"
"George Cheung","The Silent Force"
"Karen Kim","The Silent Force"
"David H. May","The Silent Force"
"Christopher Probst","The Silent Force"
"Ron Singer","The Silent Force"
"Brian Tochi","The Silent Force"
"Cynthia Ahearn","The Silent Force"
"VÃƒÂ­ctor Mayo","3 noches"
"Jenny Noguera","3 noches"
"Carmen Helena Nouel","3 noches"
"Ãƒâ€œscar Sempere","3 noches"
"Frank Spano","3 noches"
"HernÃƒÂ¡n Toro","3 noches"
"Juan Carlos Vellido","3 noches"
"Fernando Venturini","3 noches"
"Miguel Noya","3 noches"
"Miguel Angel Garcia","3 noches"
"RyÃƒÂ»tarÃƒÂ´ Gan",Biriken
"Norimichi Kasamatsu",Biriken
"Bong-ou Lee",Biriken
"Junji Sakamoto",Biriken
"Yukiko Shii",Biriken
"Tetta Sugimoto",Biriken
Ten-Gu,Biriken
"Toshiaki Toyoda",Biriken
"Tomoko Yamaguchi",Biriken
"Naotake Kobayashi",Biriken
"Roksana Babayan",Impotent
"Mikhail Derzhavin",Impotent
"Tatyana Dogileva",Impotent
"Marina Dyuzheva",Impotent
"Anatoly Eyramdzhan",Impotent
"Vladimir Grammatikov",Impotent
"Lyubov Polishchuk",Impotent
"Natalya Seleznyova",Impotent
"Irina Shmeleva",Impotent
"Larisa Udovichenko",Impotent
"Ian Hart","Still Waters Burn"
"Lina Broydo","Still Waters Burn"
"Marty Collins","Still Waters Burn"
"Ian Davidson","Still Waters Burn"
"Halfdan Hussey","Still Waters Burn"
"Tom McEnery","Still Waters Burn"
"Kathleen Powell","Still Waters Burn"
"Michael Rogers","Still Waters Burn"
"Barbara Jean Seymour","Still Waters Burn"
"Claudia Wells","Still Waters Burn"
"Crispin Glover","What Is It?"
"Michael Blevis","What Is It?"
"Matt Devlen","What Is It?"
"Lisa Fusco","What Is It?"
"Ryan Page","What Is It?"
"Michael Pallagi","What Is It?"
"Wyatt Troll","What Is It?"
"Carlos Richardson","What Is It?"
"Steven C. Stewart","What Is It?"
"Dianne Griffin","White Hotel"
"Tobi Solvang","White Hotel"
"Jeffrey Combs","The Attic Expeditions"
"Seth Green","The Attic Expeditions"
"David Reynolds","The Attic Expeditions"
"Melissa Balin","The Attic Expeditions"
"Dan Griffiths","The Attic Expeditions"
"Andras Jones","The Attic Expeditions"
"Jeremy Kasten","The Attic Expeditions"
"Rogan Russell Marshall","The Attic Expeditions"
"Wendy Robie","The Attic Expeditions"
"Daniel Gold","The Attic Expeditions"
"Ron Bonk","Strawberry Estates"
"Chrissy Frick","Strawberry Estates"
"Jerry OSullivan","Strawberry Estates"
"Jason Reed","Strawberry Estates"
"Lisa Chelenza","Strawberry Estates"
"Bob Fullenbaum","Strawberry Estates"
"Marco Sanchez","Between the Sheets"
"Tobey Bays","Between the Sheets"
"Billy Beaird","Between the Sheets"
"Jim Braverman","Between the Sheets"
"Elyssa Davalos","Between the Sheets"
"Michael DeLuise","Between the Sheets"
"Peter DeLuise","Between the Sheets"
"Lisa Rotondi","Between the Sheets"
"Scott Stephens","Between the Sheets"
"Peter Neff","Between the Sheets"
"VirgÃƒÂ­lio Castelo",Camarate
"LuÃƒÂ­s Filipe Costa",Camarate
"LuÃƒÂ­s CÃƒÂ­lia",Camarate
"CÃƒÂ¢ndido Ferreira",Camarate
"Filipe Ferrer",Camarate
"Maria JoÃƒÂ£o LuÃƒÂ­s",Camarate
"Edgar Moura",Camarate
"Tino Navarro",Camarate
"Antonio PÃƒÂ©rez Reina",Camarate
"LuÃƒÂ­s Filipe Rocha",Camarate
"Mark Frost","Fantastic Four"
"Jessica Alba","Fantastic Four"
"Michael Chiklis","Fantastic Four"
"Avi Arad","Fantastic Four"
"Chris Evans","Fantastic Four"
"Michael France","Fantastic Four"
"Ioan Gruffudd","Fantastic Four"
"Jack Kirby","Fantastic Four"
"Stan Lee","Fantastic Four"
"Tim Story","Fantastic Four"
"Salma Hayek",Frida
"Alfred Molina",Frida
